TIMESTAMP,ENCODER 1 TICKS,ENCODER 2 TICKS
30410315,1643056,141578686
30411315,1643056,141578686
30412316,1643056,141578686
30413315,1643056,141578686
30414316,1643056,141578686
30415316,1643056,141578686
30416316,1643056,141578686
30417315,1643056,141578686
30418316,1643056,141578686
30419315,1643056,141578686
30420315,1644202,141578686
30421316,1644202,141578686
30422316,1644202,141578686
30423316,1644202,141578686
30424315,1644202,141578686
30425315,1644202,141578686
30426316,1644202,141578686
30427316,1644202,141693403
30428315,1644202,141693403
30429316,1644202,141693403
30430316,1644202,141693403
30431316,1644202,141693403
30432315,1644202,141693403
30433316,1644202,141693403
30434316,1644202,141693403
30435316,1644202,141693403
30436316,1644202,141693403
30437316,1644202,141693403
30438315,1644202,141693403
30439316,1644202,141693403
30440316,1644202,141693403
30441316,1644202,141693403
30442565,1644202,141693403
30443316,1644202,141693403
30444315,1644202,141693403
30445316,1644202,141693403
30446315,1644202,141693403
30447316,1644202,141693403
30448315,1644202,141693403
30449566,1644202,141693403
30450316,1644202,141693403
30451316,1644202,141693403
30452316,1644202,141693403
30453315,1644202,141693403
30454315,1644202,141693403
30455315,1644202,141693403
30456316,1644202,141693403
30457316,1644202,141693403
30458316,1644202,141693403
30459316,1644202,141693403
30460315,1644202,141693403
30461316,1644202,141693403
30462315,1644202,141693403
30463315,1644202,141693403
30464315,1644202,141693403
30465315,1644202,141693403
30466316,1644202,141693403
30467316,1644202,141693403
30468316,1644202,141693403
30469315,1644202,141693403
30470315,1644202,141693403
30471316,1644202,141693403
30472316,1644202,141693403
30473316,1644202,141693403
30474315,1644202,141693403
30475316,1644202,141693403
30476315,1644202,141693403
30477316,1644202,141693403
30478316,1644202,141693403
30479316,1644202,141693403
30480316,1644202,141693403
30481316,1644202,141693403
30482316,1644202,141693403
30483316,1645303,141693403
30484316,1645303,141693403
30485316,1645303,141693403
30486315,1645303,141693403
30487316,1645303,141693403
30488316,1645303,141693403
30489315,1645303,141693403
30490316,1645303,141804582
30491316,1645303,141804582
30492316,1645303,141804582
30493316,1645303,141804582
30494316,1645303,141804582
30495316,1645303,141804582
30496316,1645303,141804582
30497316,1645303,141804582
30498316,1645303,141804582
30499315,1645303,141804582
30500315,1645303,141804582
30501315,1645303,141804582
30502315,1645303,141804582
30503315,1645303,141804582
30504315,1645303,141804582
30505315,1645303,141804582
30506315,1645303,141804582
30507315,1645303,141804582
30508315,1645303,141804582
30509316,1645303,141804582
30510316,1645303,141804582
30511316,1645303,141804582
30512316,1645303,141804582
30513316,1645303,141804582
30514315,1645303,141804582
30515316,1645303,141804582
30516316,1645303,141804582
30517316,1645303,141804582
30518316,1645303,141804582
30519315,1645303,141804582
30520316,1645303,141804582
30521316,1645303,141804582
30522316,1645303,141804582
30523316,1645303,141804582
30524315,1645303,141804582
30525316,1645303,141804582
30526316,1645303,141804582
30527316,1645303,141804582
30528316,1645303,141804582
30529316,1645303,141804582
30530316,1645303,141804582
30531316,1645303,141804582
30532315,1645303,141804582
30533316,1645303,141804582
30534316,1645303,141804582
30535316,1645303,141804582
30536316,1645303,141804582
30537316,1645303,141804582
30538315,1645303,141804582
30539316,1645303,141804582
30540315,1645303,141804582
30541316,1645303,141804582
30542316,1645303,141804582
30543316,1645303,141804582
30544316,1645303,141804582
30545316,1645303,141804582
30546316,1645303,141804582
30547316,1645303,141804582
30548315,1646444,141804582
30549316,1646444,141804582
30550316,1646444,141804582
30551315,1646444,141804582
30552316,1646444,141804582
30553315,1646444,141804582
30554316,1646444,141804582
30555316,1646444,141919326
30556316,1646444,141919326
30557316,1646444,141919326
30558316,1646444,141919326
30559316,1646444,141919326
30560316,1646444,141919326
30561316,1646444,141919326
30562316,1646444,141919326
30563315,1646444,141919326
30564316,1646444,141919326
30565315,1646444,141919326
