TIMESTAMP,ENCODER 1 TICKS,ENCODER 2 TICKS,MOTOR VELOCITY mRPM,TORQUE ACTUAL (%%),Ref Torque [mNm]
28829183,1863277,163849360,-57243,-65,-0.84375
28830183,1863277,163849360,-57243,-56,-0.84375
28831183,1863277,163849360,-57243,-48,-0.84375
28832183,1863277,163849360,-57243,-54,-0.84375
28833183,1862923,163849360,-57243,-45,-0.84375
28834183,1862923,163849360,-57243,-34,-0.84375
28835183,1862923,163849360,-57243,-37,-0.84375
28836183,1862923,163849360,-57243,-42,-0.84375
28837183,1862923,163849360,-57243,-37,-0.84375
28838183,1862923,163849360,-57243,-34,-0.84375
28839183,1862923,163849360,-57243,-37,-0.84375
28840184,1862923,163849360,-57243,-34,-0.84375
28841184,1862923,163849360,-57243,-45,-0.84375
28843183,1862923,163813197,-57243,-37,-0.84375
28844183,1862923,163813197,-57243,-48,-0.84375
28845183,1862923,163813197,-57243,-51,-0.84375
28846183,1862923,163813197,-57243,-51,-0.84375
28847183,1862923,163813197,-57243,-51,-0.84375
28848183,1862923,163813197,-57243,-62,-0.84375
28849183,1862923,163813197,-57243,-51,-0.84375
28849933,1862923,163813197,-47159,-54,-0.84375
28850933,1862923,163813197,-47159,-59,-0.84375
28852183,1862923,163813197,-47159,-71,-0.84375
28853183,1862923,163813197,-47159,-65,-0.84375
28854183,1862923,163813197,-47159,-68,-0.84375
28855183,1862923,163813197,-47159,-62,-0.84375
28856183,1862923,163813197,-47159,-76,-0.84375
28857183,1862923,163813197,-47159,-73,-0.84375
28858183,1862923,163813197,-47159,-62,-0.84375
28859183,1862923,163813197,-47159,-73,-0.84375
28860183,1862923,163813197,-47159,-68,-0.84375
28861183,1862923,163813197,-47159,-62,-0.84375
28862183,1862923,163813197,-47159,-73,-0.84375
28863183,1862923,163813197,-47159,-62,-0.84375
28864183,1862923,163813197,-47159,-68,-0.84375
28865184,1862923,163813197,-47159,-71,-0.84375
28866183,1862923,163813197,-47159,-59,-0.84375
28867183,1862923,163813197,-47159,-51,-0.84375
28868183,1862923,163813197,-47159,-59,-0.84375
28869183,1862923,163813197,-47159,-54,-0.84375
28870183,1862923,163813197,-47159,-59,-0.84375
28871183,1862923,163813197,-47159,-62,-0.84375
28872183,1862923,163813197,-47159,-65,-0.84375
28873184,1862923,163813197,-47159,-62,-0.84375
28874183,1862923,163813197,-47159,-65,-0.84375
28875183,1862923,163813197,-47159,-42,-0.84375
28876183,1862923,163813197,-47159,-59,-0.84375
28877183,1862923,163813197,-47159,-68,-0.84375
28878183,1862923,163813197,-47159,-62,-0.84375
28879183,1862923,163813197,-47159,-59,-0.84375
28880183,1862923,163813197,-47159,-62,-0.84375
28881183,1862923,163813197,-47159,-68,-0.84375
28882183,1862923,163813197,-47159,-56,-0.84375
28883183,1862923,163813197,-47159,-71,-0.84375
28884183,1862923,163813197,-47159,-59,-0.84375
28885183,1862923,163813197,-47159,-48,-0.84375
28886184,1862923,163813197,-47159,-51,-0.84375
28887183,1862923,163813197,-47159,-62,-0.84375
28888183,1862923,163813197,-47159,-62,-0.84375
28889183,1862923,163813197,-47159,-65,-0.84375
28890183,1862923,163813197,-47159,-71,-0.84375
28891183,1862923,163813197,-47159,-71,-0.84375
28892183,1862923,163813197,-47159,-65,-0.84375
28892933,1862923,163813197,-47159,-65,-0.84375
28893933,1862923,163813197,-47159,-68,-0.84375
28895183,1862923,163813197,-47159,-42,-0.84375
28896183,1862923,163813197,-47159,-54,-0.84375
28897183,1862923,163813197,-47159,-42,-0.84375
28898184,1862923,163813197,-47159,-42,-0.84375
28899183,1862923,163813197,-47159,-45,-0.84375
28900183,1862923,163813197,-47159,-42,-0.84375
28900933,1862923,163813197,-47159,-42,-0.84375
28901933,1862923,163813197,-47159,-42,-0.84375
28903183,1862923,163813197,-47159,-42,-0.84375
28904182,1862923,163813197,-47159,-37,-0.84375
28905183,1862923,163813197,-47159,-37,-0.84375
28906183,1862923,163813197,-47159,-51,-0.84375
28907183,1862923,163813197,-47159,-51,-0.84375
28908183,1862923,163813197,-47159,-48,-0.84375
28909183,1862923,163813197,-47159,-59,-0.84375
28910183,1862923,163813197,-47159,-62,-0.84375
28911183,1862923,163813197,-47159,-65,-0.84375
28912183,1862923,163813197,-47159,-65,-0.84375
28913183,1862923,163813197,-47159,-62,-0.84375
28914183,1862923,163813197,-47159,-71,-0.84375
28915183,1862923,163813197,-47159,-73,-0.84375
28916183,1862557,163813197,-47159,-87,-0.84375
28917183,1862557,163813197,-47159,-71,-0.84375
28918183,1862557,163813197,-47159,-68,-0.84375
28919182,1862557,163813197,-47159,-62,-0.84375
28920183,1862557,163813197,-47159,-71,-0.84375
28921183,1862557,163813197,-47159,-73,-0.84375
28922183,1862557,163813197,-47159,-71,-0.84375
28923183,1862557,163813197,-47159,-73,-0.84375
28924183,1862557,163777466,-47159,-68,-0.84375
28925183,1862557,163777466,-47159,-79,-0.84375
28926183,1862557,163777466,-47159,-85,-0.84375
28927183,1862557,163777466,-47159,-79,-0.84375
28928183,1862557,163777466,-47159,-85,-0.84375
28929183,1862557,163777466,-47159,-73,-0.84375
28930183,1862557,163777466,-47159,-76,-0.84375
28931183,1862557,163777466,-49474,-93,-0.84375
28932183,1862557,163777466,-49474,-85,-0.84375
28933183,1862557,163777466,-49474,-73,-0.84375
28934183,1862557,163777466,-49474,-71,-0.84375
28935183,1862557,163777466,-49474,-62,-0.84375
28936183,1862557,163777466,-49474,-79,-0.84375
28937183,1862557,163777466,-49474,-73,-0.84375
28938183,1862557,163777466,-49474,-71,-0.84375
28939183,1862557,163777466,-49474,-68,-0.84375
28940183,1862557,163777466,-49474,-82,-0.84375
28941183,1862557,163777466,-49474,-73,-0.84375
28942183,1862557,163777466,-49474,-62,-0.84375
28943183,1862557,163777466,-49474,-76,-0.84375
28944183,1862557,163777466,-49474,-68,-0.84375
28945183,1862557,163777466,-49474,-62,-0.84375
28946183,1862557,163777466,-49474,-79,-0.84375
28947183,1862557,163777466,-49474,-68,-0.84375
28948183,1862557,163777466,-49474,-71,-0.84375
28949183,1862557,163777466,-49474,-82,-0.84375
28950183,1862557,163777466,-49474,-79,-0.84375
28951183,1862557,163777466,-49474,-68,-0.84375
28952183,1862557,163777466,-49474,-68,-0.84375
28952933,1862557,163777466,-49474,-71,-0.84375
28953933,1862557,163777466,-49474,-71,-0.84375
28955183,1862557,163777466,-49474,-79,-0.84375
28956183,1862557,163777466,-49474,-71,-0.84375
